clip,slice_order,frame_idx,frame_name,timestamp_ns,rgb_path,depth_path,stereo_left_path,stereo_right_path,gaze_x,gaze_y,has_hands,source_archive,split,notes,pose_00,pose_01,pose_02,pose_03,pose_04,pose_05,pose_06,pose_07,pose_08,pose_09,pose_10,pose_11,pose_12,pose_13,pose_14,pose_15
10_assy_0_1,0,0,000000.jpg,0,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000000.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000000.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000000.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000000.jpg,503,177,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.8854583391254439,-0.362329077374245,-0.2910002910004365,-0.071,-0.027110051823095987,0.665393065830959,-0.7460007460011191,-0.019,0.4639273378055656,-0.6526635485709351,-0.5990005990008985,-0.082,0.0,0.0,0.0,1.0
10_assy_0_1,1,1,000001.jpg,100000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000001.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000001.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000001.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000001.jpg,0,0,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.8877991639985494,-0.3621083149463888,-0.28406022715291146,-0.071,-0.03248411712124934,0.6649757283241202,-0.7461582023101125,-0.02,0.45908324576086385,-0.6532111825332545,-0.6021276645987771,-0.082,0.0,0.0,0.0,1.0
10_assy_0_1,2,2,000002.jpg,200000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000002.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000002.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000002.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000002.jpg,829,126,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.896964561019116,-0.35469878298085955,-0.2639002645464409,-0.069,-0.043505150875493885,0.6648396123236419,-0.7457181717865337,-0.02,0.43995667755255735,-0.6574017517753102,-0.6117687950849311,-0.083,0.0,0.0,0.0,1.0
10_assy_0_1,3,3,000003.jpg,300000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000003.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000003.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000003.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000003.jpg,1076,350,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.912251974158147,-0.3410332673695851,-0.2269199114044173,-0.065,-0.06375757356869896,0.6654242951087764,-0.7437375069818787,-0.019,0.40463725416377005,-0.6640081460541077,-0.6287780804994647,-0.085,0.0,0.0,0.0,1.0
10_assy_0_1,4,4,000004.jpg,400000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000004.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000004.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000004.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000004.jpg,1046,348,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9206813809686383,-0.3309325728691542,-0.20695271670573204,-0.063,-0.07286079929849874,0.666617429071103,-0.741830511090112,-0.019,0.38345416761754575,-0.6679107990389398,-0.6378542669481017,-0.086,0.0,0.0,0.0,1.0
10_assy_0_1,5,5,000005.jpg,500000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000005.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000005.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000005.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000005.jpg,876,197,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9219587588854019,-0.326013665429292,-0.20906251904118772,-0.061,-0.06925546085272594,0.6698924580648495,-0.7392210601504198,-0.018,0.38104557215189605,-0.6670526100550028,-0.6401914458677519,-0.087,0.0,0.0,0.0,1.0
10_assy_0_1,6,6,000006.jpg,600000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000006.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000006.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000006.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000006.jpg,848,134,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9238856533272157,-0.3199483406080537,-0.20992465057323942,-0.06,-0.06565927372080256,0.672985568419345,-0.7367355593927498,-0.018,0.37699357998592037,-0.6668759135262302,-0.642769287231395,-0.088,0.0,0.0,0.0,1.0
10_assy_0_1,7,7,000007.jpg,700000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000007.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000007.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000007.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000007.jpg,853,140,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9277695564174028,-0.31310768450465026,-0.2029956356407501,-0.058,-0.06691165587252325,0.6747748209473765,-0.7349841980096125,-0.017,0.3671055440788831,-0.6683131892455606,-0.6469860899485976,-0.089,0.0,0.0,0.0,1.0
10_assy_0_1,8,8,000008.jpg,800000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000008.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000008.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000008.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000008.jpg,937,276,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9331772600043567,-0.3050979341747659,-0.18998803113104623,-0.056,-0.07086226240330076,0.6744046259787623,-0.734953699375363,-0.017,0.3523616624688999,-0.6723790976976723,-0.6509589908753216,-0.09,0.0,0.0,0.0,1.0
10_assy_0_1,9,9,000009.jpg,900000000,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/rgb/000009.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/depth/000009.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_left/000009.jpg,/tmp/industreal_pilot/dataset_batch/raw_cad_dataset__all_test_clips/test_p2/10_assy_0_1/stereo_right/000009.jpg,942,311,True,test_p2,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9395059011245912,-0.2950664205138383,-0.17396686246874898,-0.053,-0.07712858140866749,0.6770755150814141,-0.7318605938340474,-0.017,0.33373618875087013,-0.6741695293933038,-0.6588744963615264,-0.092,0.0,0.0,0.0,1.0
