clip,frame_idx,predicted_state,state_conf,top_k_states,dominant_components,reason_flags,state_origin,base_state_origin,base_state_name,oracle_step_hints,frame_name,source_label_frame_idx
10_assy_0_1,0,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000000.jpg,0
10_assy_0_1,1,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000001.jpg,1
10_assy_0_1,2,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000002.jpg,2
10_assy_0_1,3,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000003.jpg,3
10_assy_0_1,4,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000004.jpg,4
10_assy_0_1,5,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000005.jpg,5
10_assy_0_1,6,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000006.jpg,6
10_assy_0_1,7,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000007.jpg,7
10_assy_0_1,8,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000008.jpg,8
10_assy_0_1,9,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000009.jpg,9
10_assy_0_1,10,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000010.jpg,10
10_assy_0_1,11,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000011.jpg,11
10_assy_0_1,12,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000012.jpg,12
10_assy_0_1,13,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000013.jpg,13
10_assy_0_1,14,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000014.jpg,14
10_assy_0_1,15,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000015.jpg,15
10_assy_0_1,16,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000016.jpg,16
10_assy_0_1,17,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000017.jpg,17
10_assy_0_1,18,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000018.jpg,18
10_assy_0_1,19,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000019.jpg,19
10_assy_0_1,20,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000020.jpg,20
10_assy_0_1,21,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000021.jpg,21
10_assy_0_1,22,background,1.0,"[[""background"", 1.0]]",[],"[""observed_label""]",observed_label,observed_label,background,[],000022.jpg,22
10_assy_0_1,23,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000023.jpg,
10_assy_0_1,24,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000024.jpg,
10_assy_0_1,25,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000025.jpg,
10_assy_0_1,26,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000026.jpg,
10_assy_0_1,27,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000027.jpg,
10_assy_0_1,28,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000028.jpg,
10_assy_0_1,29,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000029.jpg,
10_assy_0_1,30,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000030.jpg,
10_assy_0_1,31,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000031.jpg,
10_assy_0_1,32,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000032.jpg,
10_assy_0_1,33,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000033.jpg,
10_assy_0_1,34,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000034.jpg,
10_assy_0_1,35,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000035.jpg,
10_assy_0_1,36,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000036.jpg,
10_assy_0_1,37,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000037.jpg,
10_assy_0_1,38,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000038.jpg,
10_assy_0_1,39,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000039.jpg,
10_assy_0_1,40,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000040.jpg,
10_assy_0_1,41,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000041.jpg,
10_assy_0_1,42,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000042.jpg,
10_assy_0_1,43,background,0.9,"[[""background"", 0.9]]",[],"[""seeded_initial_state""]",seeded_initial_state,seeded_initial_state,background,[],000043.jpg,
